no;abbr;long
890;GAC;Get a clue
891;GAFC;Get a * fucking* clue
892;GAFIA;Get Away From It All
893;GAFM;Get Away From Me
894;GAL;Get a life
896;GAS;Got a second?
897;GB;Goodbye
898;GBA;God Bless America
899;GBFN;Goodbye for Now
900;GBH;Grievous Bodily Harm
901;GBML;Good Bye My Love
902;GBNF;Gone But Not Forgotten
903;GBP;Great British Pounds (Sterling)
904;GBTM;Get Back To Me
905;GBTW;Get Back To Work
906;GBU;God Bless You
907;GBWY;God Be With You
908;GBY;God Bless You
909;GC;Good Contition
910;GCF;Good Clean Fun
911;GCMG;God Calls Me God
913;GCWOK;Gay Couple Without Kids
914;GD;Good
915;GD/R;Grinning, ducking, and running
916;GDFR;Going Down For Real
917;GDI;God Damn It
918;GDP;Gross Domestic Product
919;GDR;Grinning, ducking, and running
920;GE;Good Evening
921;GED;General Educational Development
922;GF;Girl friend
923;GFA;Grenade Free America
924;GFAK;Go Fly A Kite
925;GFC;Global Financial Crisis
926;GFETE;Grinning From Ear To Ear
927;GFF;Grenade Free Foundation
928;GFI;Go For It
929;GFN;Gone For Now
930;GFP;Good For Pics
931;GFTW;Go For The Win
932;GFU;Good For You
