no;abbr;long
3451;TTUS;Talk To You Soon.
3452;TTUT;Talk To You Tomorrow
3453;TTUTT;To Tell You the Truth
3454;TTY;Talk To You
3455;TTYAFN;Talk to you awhile from now
3456;TTYF;Talk To You Forever
3457;TTYIAB;Talk To You In A Bit
3458;TTYITM;Talk To You In The Morning
3459;TTYL;Talk To You Later
3460;TTYN;Talk To You Never
3461;TTYRS;Talk To You Real Soon
3462;TTYS;Talk To You Soon
3463;TTYT;Talk To You Tomorrow
3464;TTYTT;To Tell You The Truth
3465;TTYVS;Talk To You Very Soon
3466;TU;Thank you
3467;TUI;Turning you in
3468;TUL;Tell You Later Text You Later
3469;TURNT;feel excitement
3470;TVM;Thanks Very Much
3471;TW;Trigger Warning
3472;TWAIN;Technology Without An Interesting Name
3473;TWLOHA;To Write Love On Her Arms
3474;TWOC;Taken Without Owner’s Consent
3475;TWSS;That’s what she said
3476;TWTMC;To Whom This May Concern
3477;TWU;That’s What’s Up
3478;TWYL;Talk With You Later
3479;TWYMS;That’s What Your Mom Said
3480;TX;Thanks
3481;TY;Thank You
3482;TYAFY;Thank you and *freak* you
3483;TYB;Try Your Best
3484;TYBG;Thank You Based God
3485;TYFAYS;Thank You For All Your Support
3486;TYFC;Thank you for charity  
3487;TYFE;Thank You  fucking
3488;TYFYC;Thank you for your comment
3489;TYFYT;Thank You For Your Time
3490;TYG;There You Go
3491;TYJ;Thank You Jesus
3492;TYL;Text You Later
3493;TYLJ;Thank You Lord Jesus
3494;TYM;Thank You Much
3495;TYMBI;Thought You Might Be Interested
3496;TYS;Told you so
3497;TYSM;Thank You So Much
3498;TYSO;Thank you so much
3499;TYSVM;Thank You So Very Much
3500;TYT;Take Your Time
3501;TYVM;Thank You Very Much
3502;U4E ; You Forever
3503;UCMU;You crack me up
3504;UDI;injury
3505;UDM;U (You) da (the) man
3506;UDS;Ugly domestic scene
3507;UE;User Experience
3508;UFB;Un * fucking* believable
3509;UFN;Until further notice
3510;UFWM;You * fucking* with me?
3511;UGC; User-generated content
3512;UGTBK;You’ve got to be kidding
3513;UKTR;You know that’s right
3514;UL;Upload
3515;U-L;   You will 
3516;UN4TUN8;Unfortunate
3517;UNA;Use no acronyms
3518;UNBLEFBLE;Unbelievable
3519;UNCRTN;Uncertain
3520;UNPC;Un- (not) politically correct
3521;UOK;(Are) You ok?
3522;UR;You are
3523;UR2YS4ME;You are too wise for me
3524;URA*;You are a star
3525;URH;You are hot (U R Hot)
3526;URI;Uniform Resource Indicator, URL
3528;URSKTM;You are so kind to me
3529;URTM;You are the man
3530;URW;You are welcome
3531;USBCA;Until something better comes along
3532;USP;Unique Selling Point
3533;USU;Usually
3534;USW;Und So Weiter (German for etc)
3535;UT;Unreal Tournament
3536;UT2L;You take too long
3537;UTD;Up To Date
3538;UTE;Utility vehicle, pickup truck
3539;UTF;Unicode Transformation Format
3540;UTFL;Use The Force, Luke
3541;UTH;Up The Hoods
3542;UTI;Urinary Tract Infection
3543;UTM;You tell me
3544;UTO;Unable To Obtain
3545;UTP;Up-Town Projects
3546;UTR;Under The Radar
3547;UTS;Under The Skin
3548;UTT;Under The Table
3549;UV;Unpleasant Visual
3550;UW;You’re welcome
3551;UX;User experience
3552;UY;Up Yours
3554;VA;Various Artists
3555;VBD;Very Big Deal
3556;VBG;Very Big Grin
3557;VBL;Visible bra line
3558;VBR;Variable Bit Rate
3559;VBS;Very big smile
3560;VC;Voice chat
3561;VDU;Visual Display Unit
3562;VEG;Very evil grin
3563;VFF;Very  fucking funny
3564;VFM;Value for money
3565;VG;Video Game Very Good
3566;VGC;Very Good Condition
3567;VGG;Very Good Game
3568;VGL;Very Good Looking
3569;VGM;Video Game Music
3570;VHF;Very High Frequency
3571;VHS;Video Home System
3572;VIBE;Atmosphere, ambience
3573;VID;Video
3574;VIG;Interest paid on a loan
3575;VIN;Vehicle Identification Number
3576;VIP;Very Important Person
3577;VIP;Very important person
3578;VIZ;Adult comic Namely (videlicet in Latin)
3579;VJ;Video Jockey
3580;VLAN;Virtual Local Area Network
3581;VLSI;Very Large-Scale Integration
3582;VM;Voice mail
3583;VMA;Video Music Awards
3584;VMI;Virginia Military Institute
3585;VN;Very Nice
3586;VNC;Virtual Network Computing
3587;VNDS;Very Near Dead Stock
3588;VNH;Very Nice Hand 
3589;VNS;Very Nice Shot
3590;VOA;Voice Of America
3591;VOD;Video-On-Demand
3592;VOIP;Voice Over   – internet telephony
3593;VoIP;Voice over Internet Protocol (definition)
3594;VP;Vice President
3595;VPL;Visible Panty Line
3596;VPN;Virtual Private Network
3597;VR;Virtual Reality
3598;VRY;Very
3599;VS;Versus, against
3600;VSC;Very soft chuckle
3601;VSF;Very sad face
3602;VT;Video Tape
3603;VTL;Visible Thong Line
3604;VTPR;View To Permanent Relationship
3605;VTR;Video Tape Recorder
3606;VV;Very Very
3607;VVN;Very Very Nice
3608;VWD;Very well done  
3609;VWP;Very Well Played Very Well Put
3610;W/;With
3611;W/B;Write back
3612;W/E;Whatever
3613;W/END;Weekend
3614;W/O;Without
3615;W@;What?
3616;w00t;"Whoomp, there it is;    Hooray "
3617;W3;WWW (Web address)
3618;W8;Wait
3619;WAFWOT;What A  fucking Waste Of Time
3620;WAH;Working at home
3621;WAJ;What A Joke
3622;WAK;Weird, awful
3623;WAL;What A Loser
3624;WAMH;With All My Heart
3625;WAMHAS;With All My Heart And Soul
3626;WAML;With All My Love
3627;WAN2;Want to? (SMS)
3628;WAN2TLK;Want to talk
3629;WAP;Wireless Access Point
3630;WAPCE;Women Are Pure Concentrated Evil
3631;WAREZ;Cracked/pirate software
3632;WAS;Wait And See
3633;WAT;What
3634;WAWA;Where are we at?
3635;WAY;Where Are You?
3636;WAYD;What Are You Doing
3637;WAYDRN;What Are You Doing Right Now?
3638;WAYF;Where are you from?
3639;WAYLT;What Are You Listening To?
3640;WAYOA;What Are You On About?
3641;WAYTA;What Are You Talking About
3642;WAYWO;What Are You Working On?
3643;WB;Welcome back
3644;WBB;Will Be Back
3645;WBM;Wanna-Be Moderator
3646;WBN;Would Be Nice
3647;WBR;With Best Regards
3648;WBS;Write Back Soon
3649;WBT;Will Be There
3650;WBU;What about you?
3651;WBW;White Boy Wasted
3652;WBY;What (A)bout You?
3653;WC;Welcome
3654;WCA;Who cares anyway
3655;WCB;Will Call Back
3656;WCG;World Cyber Games
3657;WCIS;What Can I Say
3658;WCS;Worst Case Scenario
3659;WCYD;What Can You Do?
3660;WD;Well Done
3661;WDALYIC;Who died and left you in charge
3662;WDE;Worst Day Ever
3663;WDFD;Whoop Dee  fucking Doo
3664;WDH;What Da Hell
3665;WDIB;Why Do I Bother?
3666;WDIC;What Do I Care?
3667;WDIM;What Does It Mean?
3668;WDITOT;Why Didn’t I Think Of That
3669;WDMB;Will Do My Best
3670;WDOML;Worst Day Of My Life
3671;WDTM;What Does That Mean?
3672;WDUD;What Do You Do?
3673;WDUM;What Do You Mean?
3674;WDUT;What Do You Think?
3675;WDW;Who Dares Wins
3676;WDY;Why Don’t You?
3677;WDYD;What Did You Do?
3678;WDYDT;Why Did You Do That? What Did You Do Today?
3679;WDYE;What Did You Expect?
3680;WDYG;Where Did You Go?
3681;WDYK;What do you know?
3682;WDYM;What Do You Mean?
3683;WDYMBT;What Do You Mean By That?
3684;WDYS;What Did You Say?
3685;WDYT;What do you think?
3686;WDYW;What Do You Want?
3687;WDYWFM;What Do You Want From Me?
3688;WDYWT;What Did You Wear Today?
3689;WDYWTTA;What Do You Want To Talk About?
3690;WE;Whatever
3691;WEBO;Webopedia
3692;WEEBO;a person obsessed with of Japanese culture
3693;WEF;With Effect From
3694;WEG ; Wicked Evil Grin
3695;WFM;Works for Me
3696;WFYB;Whatever Floats Your Boat
3697;WGACA;What do you think?
3698;WH5;Who, what, when, where, why
3699;WHATEVES;Whatever
3700;WHYB;Where Have You Been?
3701;WHYD;What Have You Done?
3702;WIA;Wounded In Action
3703;WIBNI;Wouldn’t it be nice if
3704;WIIFM;What’s in it for me?
3705;WIP;Work In Progress
3706;WIR;When It’s Ready
3707;WISP;Winning is so pleasurable
3708;WITH;Where In The Hell
3709;WITP;What is the point?
3710;WITW;What in the world
3711;WIU;Wrap it up
3712;WIUWY;What Is Up With You?
3713;WIWT;What I Wore Today Wish I Was There
3714;WIWWU;Wish I Was With You
3715;WIWWY;What Is Wrong With You?
3716;WIYP;What Is Your Problem?
3717;WJD;What Jesus Did
3718;WK;Week
3719;WKD;Weekend
3720;WKND ; Weekend
3721;WKS;Well Kept Secret
3722;WKYP;Will Keep You Posted
3723;WL;Whatta loser
3724;WLM;Windows Live Messenger
3725;WLTM;Would Like To Meet
3726;WLYB;Who Loves You Baby
3727;WLYK;Will Let You Know
3728;WM;Woman Marine
3729;WMA;Windows Media Audio
3730;WMD;Weapons of Mass Destruction
3731;WMF;Wagging My  fuckinger
3732;WMG;Warner Music Group
3733;WML;Wish Me Luck
3734;WMMOWS;Wash My Mouth Out With Soap!
3735;WMP;Windows Media Player With Much Pleasure
3736;WMV;Windows Media Video
3737;WMYB;What Makes You Beautiful
3738;WN;Why Not? What’s New?
3739;WNDITWB;We Never Did It This Way Before
3740;WNL;Within Normal Limits
3741;WNOHGB;Where No One Has Gone Before
3742;WNTT;We Need To Talk
3743;WNWY;What’s New With You?
3744;WOA;Work of Art
3745;WOAT;Worst Of All Time
3746;WOB;Waste Of Bandwith
3747;WOC;Women of Color
3748;WOE;What On Earth
3749;WOF;While On Fire
3750;WOG;Offensive term for a black person 
3751;WOKE;aware of current social issues, and politics
3752;WOM;Women Over Mates
3753;WOMBAT;Waste of money, brains and time
3754;WOS;Waste Of Space Wife Over Shoulder
3755;WOTAM;Waste of Time and Money
3756;WOTCHER;What are you up to?  ?
3757;WOTD;Word Of The Day
3758;WOTLK;Wrath O fucking ( )
3759;WOTS;Word On The Street
3760;WOW;World of Warcraft  
3761;WP;Wrong Person Well Played
3762;WPA;Wi-Fi Protected Access
3763;WPM;Words Per Minute
3764;WPWW;White Pride World Wide
3765;WR;Warm Regards
3766;WRK;Work
3767;WRT;With regard to
3768;WRU;Where Are You?
3769;WRU@;Where are you at?
3770;WRUD;What are you doing?
3771;WRUTA;What Are You Talking About?
3772;WRYD;What Are You Doing?
3773;WRYTA;What Are You Talking About?
3774;WSIC;Why Should I Care?
3775;WSM;Woman Seeking Man
3776;WSP;What’s up?
3777;WSS;Why So Serious?
3778;WST;We’re Still Friends
3779;WSUL;Will See You Later
3780;WSWTA;What Shall We Talk About?
3781;WT?;What The …? or Who the …?
3782;WTA;Winner Takes All
3783;WTB;Want To Buy
3784;WTBS;With That Being Said
3785;WTC;World Trade Center What The Crap
3786;WTD;What The Deuce?
3787;WTDT;What To Do Today
3788;WTDTA;Where They Do That At?
3789;WTF;What the Fuck
3790;WTFE;What the *freak* ever
3791;WTFO;What the *freak* ?, over.
3792;WTFT;What The French Toast
3793;WTG;Way to go
3794;WTGP?;Want To Go Private?
3795;WTH;What the heck?
3796;WTHAY;Who The Hell Are You?
3797;WTHC;Who The Hell Cares?
3798;WTHIGO;What The Hell Is Going On?
3799;WTHIT;What The Hell Is That?
3800;WTHIWWY;What The Hell Is Wrong With You?
3801;WTHN;Why The Heck Not?
3802;WTHRU;Who The Hell Are You?
3803;WTII;What time Is It?
3804;WTK;Want To Know
3805;WTL;Will Talk Later
3806;WTLW;Welcome To Last Week
3807;WTM;What’s The Matter?
3808;WTMI;Way Too Much Information
3809;WTML;Welcome To My Life
3810;WTMW;Welcome To My World
3811;WTO;World Trade Organization
3812;WTP;What’s The Point?
3813;WTPA ; Where The Party At?
3814;WTS;Want to sell?  
3815;WTT;Want To Trade
3816;WTTC;Welcome To The club
3817;WTTIR;When The Time Is Right
3818;WTTJ;Welcome To The Jungle
3819;WTTM;Without Thinking Too Much
3820;WTW;Walk Through Walls (gaming) Walk this Way
3821;WTY;Why, Thank You
3822;WTYO;Whatever Turns You On
3823;WU;What’s up?
3824;WUCIWUG;What you see is what you get
3825;WUD;What You Doing?
3826;WUF;Where are you from?
3827;WUG;What You Got? Where You Going?
3828;WUGOWM;Will You Go Out With Me?
3829;WUL;Watched User List
3830;WULA;What’re you Looking At?
3831;WULLNP;Wishing You Long Life And Prosperity
3832;WUM;Woman Wind-Up Merchant
3833;WUP;What’s up?
3834;WUT;   what 
3835;WUU2;What are you up to?
3836;WUW;What You Want?
3837;WUWCB;What do You Want to Chat about?
3838;WUWH;Wish You Were Here
3839;WUWT;What’s Up With That
3840;WUWTA;What You Wanna Talk About?
3841;WUWTB;What You Wanna Talk ‘Bout?
3842;WUWU;What’s Up With You?
3843;WUZ;   was 
3844;WWA;Wiggers with attitude
3845;WWBD;What Would Batman Do?
3846;WWCND;What Would Chuck Norris Do?
3847;WWE;World Wrestling Entertainment
3848;WWIC;Why Would I Care?
3849;WWIT;What Was I Thinking?
3850;WWJBD;What Would Jason Bourne Do?
3851;WWJD;What Would Jesus Do?
3852;WWNC;Will wonders never cease
3853;WWOTW;Wicked Witch Of The West
3854;WWTBAM;Who Wants To Be A Millionaire?
3855;WWU;Where Were You?
3856;WWWY;What’s Wrong With You?
3857;WWY;Where Were You?
3858;WWYC;Write when you can
3859;WWYD;What Would You Do?
3860;WWYDT;Why Would You Do That?
3861;WYA;Where You At?
3862;WYATB;Wish You All The Best
3863;WYB;Watch Your Back
3864;WYBD;What’ve You Been Doing?
3865;WYBMV;Will You Be My Valentine?
3866;WYCM;Will You Call Me?
3867;WYD;What You Doing?
3868;WYDN;What You Doing Now?
3869;WYF;What’s Your Favorite …?
3870;WYG;What You Get
3871;WYGAM;When you get a minute
3872;WYGOWM;Will You Go Out With Me?
3873;WYHAM;When you have a minute
3874;WYK;Would You Kindly
3875;WYL;Whatever You Like
3876;WYLABOCTGWTR;Would You Like A Bowl Of Cream To Go With That Remark?
3877;WYLASOMWTC;Would You Like A Saucer Of Milk With That Comment?
3878;WYLEI;When you least expect it
3879;WYLION;Whether You Like It Or Not
3880;WYLSCWTW;Would You Like Some Cheese With That Whine?
3881;WYLT;What You Listening To?
3882;WYM;Watch Your Mouth What You Mean?
3883;WYMM;Will You Marry Me?
3884;WYN;What’s Your Name?
3885;WYP;What’s Your Problem? What’s Your Point?
3886;WYR;Would You Rather
3887;WYS;What You Said
3888;WYSIWYG;What you see is what you get
3889;WYTA;What You Talking About?
3890;WYUT;What You Up To
3891;WYW;Whatever You Want
3892;WYWH;Wish You Were Here
3893;WYWTA;What You Wanna Talk About
3895;X!;   a typical woman 
3896;X-1-10;   Exciting 
3897;XD;really hard laugh 
3898;XD;  a  devilish smile 
3899;XLNT;Excellent
3900;XLR8;    fucking faster 
3901;XME;Excuse Me
3902;XOXO ; Hugs and Kisses
3903;XOXOXO;Hugs & Kisses
3904;XPOST;Cross-post
3905;XYL;Ex-young lady,   wife. (amateur radio)
3906;XYZ;Examine your zipper
3907;Y?;Why?
3908;Y2K;You’re too kind
3909;YA;Your
3910;YAA;Yet another acronym
3911;YABA;Yet another bloody acronym
3912;YAGB;You Ain’t Grizz Baby ( )
3913;YALA;You Always Live Again
3914;YAM;Yet Another Meeting
3915;YANA;You Are Not Alone
3916;YARLY;Ya, really?
3917;YAS;   praise 
3918;YATB;You Are The Best
3919;YATK;You Are Too Kind
3920;YATLOML;You Are The Love Of My Life
3921;YAVW;You Are Very Welcome
3922;YAW;You Are Welcome
3923;YBIC;Your brother in Christ
3924;YBS;You’ll Be Sorry
3925;YBS;You’ll be sorry
3926;YBTJ;You Be The Judge
3927;YBW;You’ve Been Warned
3928;YBWM;You Belong With Me
3929;YCDBWYCID;You can’t do business when your computer is down
3930;YCHT;You can have them
3931;YCLIU;You can look it up
3932;YCMIU;You Couldn’t Make It Up
3933;YCMU;You Crack Me Up
3934;YCT;  Your comment to?
3935;YD;Yesterday
3936;YDEK;You Don’t Even Know
3937;YDI;You Deserve It
3938;YDK;You Don’t Know
3939;YDL;Yellow Dog Linux
3940;YDMS;You Don’t Make Sense
3941;YDMT;You Don’t Mean That
3942;YDS;You Don’t Say
3943;YDU;You Don’t Understand
3944;YEET;excitement, approval or display 
3945;YF;Your Friend
3946;YFW;Your Face When …
3947;YGG;You go girl
3948;YGI;You Got It
3949;YGLT;You’re Gonna Love This
3950;YGM ; You’ve Got Mail
3951;YGPM;You’ve Got Private Message
3952;YGTBK;You’ve Got To Be Kidding
3953;YGTBKM;You’ve Got To Be Kidding Me
3954;YGTI; You get the idea
3955;YGTR;You got that right
3956;YHA;Youth Hostel Association
3957;YHBT;You have been trolled
3958;YHBW;You have been warned
3959;YHGASP;You Have Got A Serious Problem
3960;YHL;You have lost
3961;YHM;You Have Mail
3962;YHNI;You Have No Idea
3963;YHTBT;You Had To Be There
3964;YID;Yes I Do
3965;YIK;Yes, I Know
3966;YITB;Yours In The Bond
3967;YITE;Are You All Right?
3968;YIU;Yes, I understand
3969;YJLTG;You Just Lost The Game
3970;YK;You’re Kidding
3971;YKHII;You Know How It Is
3972;YKIMS;You Know It Makes Sense
3973;YKTR;You Know the Rest
3974;YKW;You know what
3975;YKWIM;You Know What I Mean
3976;YKWIS;You Know What I’m Saying?
3977;YKWYCD;You know what you can do
3978;YKYLM;You Know You Love Me
3979;YL;Young Lady
3980;YLI;You Love It
3981;YLM;You Love Me?
3982;YLOD;Yellow Light Of Death
3983;YLYL;You Laugh You Lose
3984;YMBJ;You Must Be Joking
3985;YMCA;Young Mens Christian Association
3986;YMCMB;Young Money Cash Money Billionaires
3987;YMMD;You Made My Day
3988;YMML;You Make Me Laugh
3989;YMMS;You Make Me Smile
3990;YMMV;Your mileage may vary
3991;YMW;You’re Most Welcome
3992;YNK;You Never Know
3993;YNW;You’re Not Welcome
3994;YNWA;You’ll Never Walk Alone
3995;YOLF;You Only Live Forever
3996;YOLO;You only live once
3997;YOMB;You Owe Me Big
3998;YOYO;You’re On Your Own
3999;YP;Your Problem Yes, Please
4000;YQW;You’re Quite Welcome
4001;YRG;You Are Good!
4002;YRMV;Your Results May Vary
4003;YRO;Your Rights Online
4004;YRU;Why Are You…?
4005;YRYOCC;You’re running your own cuckoo clock
4006;YSC;Your So Cute
4007;YSI;You Stupid Idiot
4008;YSIC;Your sister in Christ
4009;YSK;You Should Know
4010;YSMTU;You So Made That Up
4011;YSS;You Suck Severely
4012;YSVW;You’re So Very Welcome
4013;YSYD;Yeah sure you do
4014;YSYL;You Snooze, You Loose
4015;YT;YouTube
4016;YT?;You Think ?
4017;YTB;You’re the best
4018;YTD;Year To Date
4019;YTG;You’re the greatest
4020;YTM;You’re The Man
4021;YTML;You’ll Thank Me Later
4022;YTMND;You’re The Man Now, Dog (website)
4023;YTO;You’re The One
4024;YTP;YouTube Poop
4025;YTTL;You take too long
4026;YTTM;You Talk Too Much You Talking To Me?
4027;YUM;tastes good
4028;YVW;You’re Very Welcome
4029;YW;You’re Welcome
4030;YWCA;Young Women’s Christian Association
4031;YWHNB;Yes, we have no bananas
4032;YWHOL;Yelling  woohoo  out loud
4033;YWIMC;Your Wish Is My Command
4034;YWSYLS;You Win Some, You Lose Some
4035;YWU?;Yo Waz Up?
4036;YYSSW;Yeah, yeah, sure, sure, whatever
4037;Z%;Zoo
4038;ZH;Sleeping Hour
4039;ZOMG;Oh My God
4040;ZOT;Zero tolerance
4041;ZUP;   What’s up? 
4042;ZZZZ;Sleeping (or bored)

